"#","Tipo","Ângulo","Headline","Description","Texto Primário","CTA","Formato","Público","KV"
"1","ESTÁTICO","Tradicional → Cripto (A)","Cripto com o mesmo critério que você já usa em ações","Análise gratuita. Analista sênior. Conversa ao vivo.","Você tem mais de R$100 mil investidos em ações e renda fixa. Mas quando o assunto é cripto, age no impulso — compra por indicação, não tem regra de saída, não sabe o percentual certo pra alocar. André Franco analisa criptoativos desde 2016. Ele aplica em cripto o mesmo rigor que você já usa no tradicional: tese de investimento documentada, percentual máximo de alocação por ativo, regra de saída antes de entrar. Conversa gratuita com analista sênior. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Quente + Morno","Foto André + texto Do tradicional pro cripto com método"
"2","ESTÁTICO","Tradicional → Cripto (B)","Mais de R$100 mil investidos e ainda sem cripto?","Análise independente. Sem fundo próprio. Sem comissão.","Quanto do seu patrimônio está em cripto hoje? Se você tem mais de R$100 mil e a resposta é zero, não é porque cripto não faz sentido. É porque ninguém te mostrou como entrar com critério. André Franco investe em criptoativos desde 2016. Sem fundo próprio, sem comissão de exchange. Só análise independente. Na conversa gratuita, um analista sênior compara sua alocação atual com a carteira do André: o que faz sentido manter, o que está com risco desproporcional, onde está o espaço pra cripto no seu portfólio. Sem custo. Sem compromisso de contratação.","SIGN_UP","Feed 1080x1080","Frio + Morno","Foto André + gráficos de alocação"
"3","ESTÁTICO","Cripto sem método (A)","Você tem R$100 mil em cripto. Tem método?","Diagnóstico gratuito. Analista sênior. Conversa ao vivo.","Você tem mais de R$100 mil em cripto. Talvez tenha até multiplicado parte do patrimônio. Mas se alguém te perguntar qual sua regra de saída, você não tem resposta. André Franco analisa esse mercado desde 2016. Na conversa gratuita, o analista sênior vai passar por 3 pontos com você: diagnóstico real da sua alocação atual, riscos que você provavelmente não está vendo, comparação com a carteira do André Franco. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Quente","Foto André olhando para câmera"
"4","ESTÁTICO","Cripto sem método (B)","R$100 mil em cripto e nenhuma regra de saída?","Método de saída. Analista sênior. Conversa gratuita.","Quantas altas você já viu passar sem realizar? Se você tem mais de R$100 mil em cripto e não tem uma regra de saída escrita, você está no mesmo lugar que 54% dos investidores que ouvimos. Não é falta de coragem. É falta de processo. André Franco opera com limite de risco definido desde 2016. Na análise gratuita, o analista sênior mostra: quando vender e quando não vender, quanto alocar em cada posição, o que fazer no próximo ciclo. Sem custo. Sem compromisso de contratação.","SIGN_UP","Story 1080x1920","Morno","Foto André + Regra de saída antes de entrar"
"5","ESTÁTICO","R$100mil estratégias (A)","R$100 mil investidos? Use o método, não o palpite.","Análise gratuita com analista sênior. Desde 2016.","Já tem R$100 mil ou mais investidos? Então você precisa de mais do que dicas. Precisa de processo: regra de saída definida antes de entrar, percentual de alocação por classe de ativo, critério de rebalanceamento com tese, não com palpite. André Franco usa esse método desde 2016. Sem fundo próprio, sem comissão de exchange. Só análise. Conversa gratuita com analista sênior. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio (broad, LAL)","Foto André + R$100mil+ em destaque"
"6","ESTÁTICO","R$100mil estratégias (B)","R$100 mil parado em cripto sem processo?","Análise gratuita da sua carteira. Sem compromisso.","Nos primeiros anos em cripto, eu também operava no instinto. Comprava na alta, segurava na queda, não sabia quando vender. Depois de 10 anos, a única coisa que mudou o jogo foi ter processo: percentual de alocação, limite de risco, regra de saída escrita antes de entrar. Se você tem R$100 mil ou mais e quer montar uma carteira com critério — não com achismo — meu time oferece uma análise gratuita. Sem custo. Sem compromisso. André Franco, analista de criptoativos desde 2016. Boost Research.","SIGN_UP","Feed 1080x1080","Frio + Morno","Foto André casual + 10 anos. Um método."
"7","ESTÁTICO","Regra de saída","R$100 mil em cripto — sabe comprar, mas e vender?","Regra de saída com método. Análise gratuita.","Você tem mais de R$100 mil e sabe comprar cripto. O problema é vender. Não ter regra de saída custa caro. Você vê o lucro no papel, hesita, e quando decide vender já devolveu tudo pro mercado. Na Boost Research, André Franco define a regra de saída antes de entrar na posição. Desde 2016. Na análise gratuita, o analista sênior mostra: como definir seu ponto de saída com base em tese, qual percentual vender em cada faixa de preço, o que fazer quando a emoção mandar segurar. Sem custo. Sem compromisso.","SIGN_UP","Story 1080x1920","Morno + Quente","Foto André + Defina a saída antes de entrar"
"8","ESTÁTICO","IR Cripto","Mais de R$100 mil em cripto e preocupado com o IR?","Diagnóstico fiscal + análise de carteira. Gratuito.","Se você tem mais de R$100 mil em cripto e está preocupado com o IR, já deu o primeiro passo certo: reconheceu que precisa de organização. Mas a declaração é só a ponta do iceberg. O que define se você paga mais ou menos imposto é como sua carteira foi montada — com processo ou no improviso. André Franco analisa criptoativos desde 2016. Na conversa gratuita com analista sênior, além do diagnóstico fiscal, você recebe: visão completa da sua alocação, pontos de risco que impactam tributação, comparação com a estratégia do André. Sem custo. Sem compromisso.","LEARN_MORE","Feed 1080x1080","Frio (interesse IR)","Boost institucional + ícone fiscal"
"9","ESTÁTICO","Sem conflito","R$100 mil em cripto merecem análise sem conflito de interesse","Sem fundo próprio. Sem comissão. Só análise.","Quando você tem mais de R$100 mil em cripto, a maioria das análises vem de quem ganha comissão se você comprar. O Boost Research não tem fundo próprio. Não ganha comissão de exchange. Não vende token. André Franco analisa criptoativos desde 2016. Só análise independente — com honorário fixo. Na conversa gratuita com analista sênior: diagnóstico honesto da sua carteira, o que manter, o que ajustar, o que não faz sentido. Sem pressão pra contratar nada. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio + Morno","Boost institucional + Casa de análise independente"
"10","ESTÁTICO","Sem tempo","R$100 mil em cripto e sem tempo pra acompanhar?","15 minutos por semana. Análise gratuita.","Você tem mais de R$100 mil investidos e não tem 3 horas por dia pra acompanhar cripto. Nem precisa. O que você precisa é de um processo montado por quem acompanha há 10 anos — pra você executar em 15 minutos por semana. André Franco analisa criptoativos desde 2016. Sem fundo próprio, sem comissão de exchange. Na análise gratuita com analista sênior: diagnóstico da sua alocação atual, processo de acompanhamento simplificado, o que realmente exige sua atenção e o que não exige. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio (C-level)","Foto André escritório + 10 anos de análise. 15 minutos do seu tempo."
